tutkintokerta;koulun_nro;koulun_nimi;opetuskieli;tyyppi;sukup;yht;A;O;Z;I;W;Q;A5;O5;M;N;BI;FF;FY;HI;PS;UE;UO;ET;GE;KE;TE;YH;BA;BB;CA;CB;EA;FA;SA;PA;VA;EC;FC;SC;PC;VC;DC;IC;QC;GC;TC;L1;L7;opintotausta
2024K;2061;Karleby svenska gymnasium;SV;;2;15;;0;;;;;;;;4;;;;;;;;;3;;;;;;5;;3;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;33;;5;;;;;;;4;;;;3;;;;;;;;6;;;;6;;5;;;;;;;4;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;25;;4;;;;;;;4;;5;;;;;;;;;;;;;;7;;5;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;16;;2;;;;;;;3;;;;;;;;;;;;4;;;;;4;3;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;28;;2;;;;;;;;4;;;;;;5;;;;;5;;;;6;;6;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;37;;5;;;;;;;;7;;;;;5;5;;;;;;;;;;5;5;;;;;;;5;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;24;;2;;;;;;;4;;4;;4;;;;;;;;;;;;6;;4;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;21;;4;;;;;;;;3;;;;;2;;;;3;;;;;;3;;6;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;40;;5;;;;;;;;6;;;;5;;;;;6;;3;;;;5;;5;;;;;;;5;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;17;;2;;;;;;;3;;3;;;2;;;;;;;;;;;4;;;;;;;3;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;19;;3;;;;;;;;2;;;;;3;;;;;;4;;;;4;;;;;;;3;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;24;;4;;;;;;;3;;4;;;;4;;;;;;;;;;4;;5;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;27;;2;;;;;;;5;;;;5;;;;;;;;;;;;5;;5;;;;;;;;5;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;20;;2;;;;;;;;5;4;;;;;;;;;;;;;;;4;5;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;16;;3;;;;;;;;3;;;;;;;;;3;;;;;;3;;4;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;33;;4;;;;;;;7;;;;6;;;;;;;;;;;;3;;7;;;;;;;;6;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;21;;2;;;;;;;;2;3;;;;;;;;;;4;;;;;5;2;;;;;;;3;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;20;;3;;;;;;;;3;;;;;3;;;;;;;;;;3;;4;;;;;;;4;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;16;;2;;;;;;;;;;;;;3;;;;;;3;;;;4;;4;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;21;;3;;;;;;;;;3;;;;4;;;;;;4;;;;4;;3;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;26;;4;;;;;;;;4;;;;;4;;;;;;5;;;;6;;3;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;26;;4;;;;;;;5;;;6;;;;;;;;;;;;;5;;6;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;27;;2;;;;;;;;5;;;;;;;;;4;;4;;;;5;;3;;;;;;;4;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;27;;4;;;;;;;;4;4;;;;;;;;;;;;;;4;;6;;;;;;;5;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;16;;0;;;;;;;;3;;;;;;;;;;;3;;;;6;;4;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;30;;4;;;;;;;;6;;;;;2;;;;;3;;;;;6;;5;;;;;;;4;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;41;;4;;;;;;;6;;6;;6;;;;;;;6;;;;;;;6;;;;7;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;28;;4;;;;;;;;5;4;;;;;;;;;;4;;;;6;;5;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;27;;3;;;;;;;;3;4;;;;;;;;;;4;;;;5;;4;;;;;;;4;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;24;;4;;;;;;;;4;;;;4;;;;;;;;;;;7;;5;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;23;;3;;;;;;;;3;;;;;2;2;;;;;4;;;;5;;4;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;2;28;;5;;;;;;;6;;;;4;;;;;;;;;;;;7;;6;;;;;;;;;;;;;;;;;1
2024K;2061;Karleby svenska gymnasium;SV;;1;41;;5;;;;;;;;6;;;;5;;;;;6;;;;;;7;;6;;;;;;;6;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;23;;4;;;;;;;;4;;;;;;;;;;;;;;;5;;5;;;;;;;5;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;40;;6;;;;;;;5;;;;;6;;;;;;;;7;;;;5;5;;;;;;;6;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;26;;5;;;;;;;;;;5;;;;;;;;;;;;;7;;;;5;;;;;;4;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;24;;3;;;;;;;;;;;;;4;;;;;;4;2;;;6;;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;34;;4;;;;;;;;6;;;;;;5;;;;;;;;;;7;6;;;;;;6;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;33;;4;;;;;;;5;;;;;;;;;;;;;4;;;;7;6;;;;;;7;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;22;;3;;;;;;;;3;;4;;;;;;;;;;3;;;;5;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;16;;2;;;;;;;;;;;;;3;3;;;;;;;;;;5;3;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;23;;4;;;;;;;;3;;;;4;;4;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;30;;6;;;;;;;;;;;;;;;;;;;;3;;;4;7;5;;;;;;;5;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;21;;2;;;;;;;;;3;;3;;;;;;;3;;;;;;6;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;36;;4;;;;;;;;7;;;;4;;;;;;;;6;;;4;6;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;20;;2;;;;;;;;4;;;;;5;;;;;;;;;;5;;;;;;;4;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;35;;4;;;;;;;;5;;;;;4;;;;;;;5;;;5;6;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;45;;7;;;;;;;7;;;;6;;;;;;;6;;;;;6;;7;;;;;;;6;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;52;;7;;;;;;;7;;;;6;;7;;;;;;;7;;;;7;5;;;;;;;6;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;21;;2;;;;;;;;5;;;;;;;;;4;;;;;;5;;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;32;;5;;;;;;;;4;;;;;5;;;;;;;6;;;;7;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;32;;4;;;;;;;5;;;;4;;;;;;;;;3;;;4;7;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;33;;3;;;;;;;;4;;;;;5;;;;;;;4;;;4;7;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;23;;3;;;;;;;;3;;;;;;;;;;;2;2;;;4;6;3;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;34;;5;;;;;;;6;;;;;7;5;;;;;;;;;;5;;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;20;;2;;;;;;;;;;;;4;;;;;;;;;;;;5;3;;;;;;;;6;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;24;;4;;;;;;;6;;;;;5;;;;;;;;;;;4;;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;46;;7;;;;;;;6;;7;;6;;;;;;;6;;;;;7;;7;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;34;;4;;;;;;;6;;;;6;;;;;;;6;;;;;;7;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;28;;6;;;;;;;6;;;;;5;;;;;;;;;;;;6;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;30;;3;;;;;;;;6;;;;3;;;;;;;;;;;5;7;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;33;;4;;;;;;;3;;;;;;;4;;;;;;5;;;5;7;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;53;;6;;;;;;;6;;;;;;6;;;;;;;6;;;4;7;6;;6;;;;;;6;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;24;;5;;;;;;;;6;;;;;;;;;;;;;;;;5;4;;;;;;4;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;28;;4;;;;;;;5;;4;;3;;;;;;;6;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;32;;4;;;;;;;5;;;;6;;;;;;;;;;;;4;7;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;34;;5;;;;;;;5;;;;;6;;;;;;;;5;;;;7;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;28;;3;;;;;;;;5;;;;;;;;;;;;5;;;5;6;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;26;;4;;;;;;;4;;;;;;;4;;;;;;3;;;;6;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;19;;2;;;;;;;;5;;5;;;;;;;;;;2;;;;;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;33;;6;;;;;;;5;;5;;;;;;;;;6;;;;;6;;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;32;;4;;;;;;;3;5;;;;5;3;;;;;;3;;;;;5;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;28;;4;;;;;;;;4;;;;5;;;;;;;;4;;;;7;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;15;;2;;;;;;;;;;;;;3;;;;;;4;;;;3;;3;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;26;;4;;;;;;;6;;;;4;;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;26;;4;;;;;;;4;5;;;;;;4;;;;;;;;;;5;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;36;;4;;;;;;;5;;6;;4;;;;;;;5;;;;;6;;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;24;;4;;;;;;;3;;;;;;3;;;;;;4;;;;6;;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;17;;3;;;;;;;;;;;;;3;;;;;;4;;;;4;;3;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;26;;4;;;;;;;4;;;;;;;;;;;;;3;;;4;6;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;10;;0;;;;;;;;2;;;;;;;;;;;;2;;;3;;3;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;28;;4;;;;;;;;4;;;;;;5;;;;;5;;;;5;;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;21;;3;;;;;;;4;;;;4;;;;;;;;;;;;6;;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;36;;4;;;;;;;5;;;;;5;;;;;;;;;;;4;7;6;;;;;;;5;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;18;;2;;;;;;;;4;;;;;;;;;;;;3;;;6;;3;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;39;;6;;;;;;;6;;;;;6;;;;;;;;7;;;7;;7;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;30;;3;;;;;;;4;;;;4;;;;;;;;;;;;6;;6;;;;;;;;7;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;26;;3;;;;;;;5;;;;3;;;;;;;3;;;;;3;6;3;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;27;;4;;;;;;;;;;;;;4;5;;;;;;4;;;;5;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;31;;0;;;;;;;4;;;;5;;;2;;;;2;;;;;4;6;5;;;;;;;;3;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;28;;4;;;;;;;;6;;;;;;;;;;;;5;;;;7;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;32;;6;;;;;;;;4;;;;;;;;;;;4;3;;;4;;7;;;;;;;;4;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;36;;5;;;;;;;;6;;;;;;;;5;;;;;;;7;;7;;;;;;6;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;35;;4;;;;;;;5;;;;5;;;;;;;5;;;;;;6;5;;;;;;;5;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;32;;4;;;;;;;5;;5;;;;;;;;;6;;;;;6;;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;33;;5;;;;;;;;5;;6;;;6;;;;;;;;;;6;;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;30;;5;;;;;;;;6;;6;;;;;;;;;;;;;;7;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;30;;5;;;;;;;;4;;;;4;;;;;;;;4;;;7;;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;23;;4;;;;;;;;4;;;;;;;;;;;;4;;;;6;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;38;;7;;;;;;;6;;;;6;;;;;;;;;;;;6;;7;;;;;;6;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;24;;4;;;;;;;3;;;;;;;;;;;2;;;;;4;7;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;42;;6;;;;;;;6;;;;;6;;;;;;;;6;;;6;;6;;;;;;;6;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;22;;4;;;;;;;;4;;;;;;;;;;;;4;;;6;;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;34;;5;;;;;;;;5;;;;7;;;;;;;;5;;;6;;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;38;;5;;;;;;;6;;7;;;;;;;;;6;;;;;3;6;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;37;;6;;;;;;;;6;;;;;6;;;;;;;7;;;;7;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;27;;3;;;;;;;;6;;;;;;;;4;;;;4;;;;5;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;31;;5;;;;;;;3;;;;;;;;;;;;;5;;;;7;5;;6;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;37;;4;;;;;;;;4;;;;4;;;;;;;;4;;;3;7;6;;;;;;;5;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;33;;6;;;;;;;4;;;;;4;;;;;;;;5;;;3;7;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;37;;5;;;;;;;;6;;;;;;5;;;;;;;;;4;7;5;;;;;;;5;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;34;;5;;;;;;;4;;;;;6;;;;;;;;6;;;;7;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;27;;4;;;;;;;;3;;;;;;;;;;;;4;;;3;6;4;;;;;;;3;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;31;;3;;;;;;;;3;;;;5;6;;;;;;;;;;4;6;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;24;;3;;;;;;;6;;;;5;;;;;;;;;;;;4;;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;37;;7;;;;;;;6;;;;7;;;;;;;7;;;;;3;;7;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;37;;5;;;;;;;4;;;;;;6;;;;;;;6;;;5;7;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;27;;4;;;;;;;3;;;;3;;;4;;;;;;;;;3;6;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;30;;5;;;;;;;4;;;;;;5;;;;;;7;;;;5;;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;33;;4;;;;;;;;6;4;;;4;;;;;;4;;;;;;6;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;20;;3;;;;;;;;4;;;;4;;;;;;;;;;;4;;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;25;;2;;;;;;;;3;;;;4;;;;;;;;6;;;6;;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;20;;4;;;;;;;;4;;;;;;;;;;;;;;;;6;3;;;;;;3;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;42;;3;;;;;;;5;;;;;4;;6;;;;;;5;;;4;7;4;;;;;;;4;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;30;;6;;;;;;;6;;;;;;;;;;;7;;;;;;;6;;5;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;44;;5;;;;;;;7;;5;;7;;;;;;;6;;;;;;7;7;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;32;;3;;;;;;;;4;;;;4;;;;;;;;4;;;5;6;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;40;;6;;;;;;;7;;;;6;;;;;;;5;;;;;6;;6;;;;;;4;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;23;;3;;;;;;;;;;;;;4;2;;;;;;;;;4;6;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;28;;4;;;;;;;5;;;;;;;;;;6;;;;;;7;;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;28;;4;;;;;;;4;;;;4;;6;;;;;;;;;;;5;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;24;;4;;;;;;;;5;;;;;;;;;;;;4;;;;6;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;28;;4;;;;;;;6;;;;6;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;30;;4;;;;;;;3;;;;;;;4;;;;;;4;;;4;7;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;25;;3;;;;;;;;5;;;;;;5;;;;;;3;;;;6;3;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;25;;4;;;;;;;;4;;;;;;;;;;;;3;;;3;6;5;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;1;42;;5;;;;;;;;6;;;;7;;;;;;;;5;;;4;6;5;;;;;;;4;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;19;;3;;;;;;;;;;;;4;;;;;;;;4;;;4;;4;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;33;;4;;;;;;;;3;3;;;;5;;;;;;;;;;3;6;3;;;;;6;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;12;;3;;;;;;;;2;;;;;;;;;;;0;;;;;5;2;;;;;;;;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;44;;7;;;;;;;5;;;;;6;;;;;;;;7;;;6;;6;;;;;;;7;;;;;;;;;;1
2024K;2026;Brändö gymnasium;SV;;2;27;;4;;;;;;;;4;;;;;;;;;;;3;;;;5;;5;;;;;;;;6;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;38;6;;;;;;;;6;;;;6;;7;;;;;;;;6;7;;;;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;14;4;;;;;;;;2;;;;2;3;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;19;4;;;;;;;;4;;;;3;;;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;16;4;;;;;;;;3;;;;;;2;;;;;;4;;;3;;;;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;19;5;;;;;;;;;3;;;;;3;;2;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;31;6;;;;;;;;;4;;;;;5;;;;;;;;;5;;;7;4;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;27;6;;;;;;;;3;;;6;;;;6;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;45;7;;;;;;;;6;;;6;6;7;;;;;;;;;;7;;;6;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;40;7;;;;;;;;5;;;;;6;6;;;;;;;;;5;;;5;;;;;6;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;16;3;;;;;;;;2;;;;;2;;;;;;;;;;3;;;3;;;;;;;3;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;25;6;;;;;;;;5;;3;;;;6;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;31;7;;;;;;;;;;5;;;;7;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;16;4;;;;;;;;;2;;;;;4;;;;;;;4;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;21;6;;;;;;;;3;;3;;4;;;;;;;2;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;1;31;5;;;;;;;;7;;;;6;;;;;;;;;7;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;1;36;6;;;;;;;;6;;6;;6;;;;;;;6;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;23;5;;;;;;;;3;;;;;;6;5;;;;;;;;4;;;;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;39;7;;;;;;;;6;;7;;6;;;;;;;6;;;;7;;;;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;25;5;;;;;;;;4;;;;;;;5;;;;;;;;5;;;2;;;;;4;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;1;23;5;;;;;;;;;4;;;;;4;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;26;6;;;;;;;;4;;;;;;4;5;;;;;3;;;4;;;;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;1;21;2;;;;;;;;5;;;5;4;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;29;6;;;;;;;;5;;;;;;7;7;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;27;5;;;;;;;;4;;;;;;6;6;;;;;;;;6;;;;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;29;6;;;;;;;;6;;5;;5;;;;;;;;3;;;4;;;;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;16;3;;;;;;;;;4;;;;;3;4;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;1;15;3;;;;;;;;;3;;4;;;2;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;17;4;;;;;;;;;3;;3;;;;;;;;;5;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;35;7;;;;;;;;;5;;;;5;6;;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;20;5;;;;;;;;;4;;;;;;4;;;;;4;;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;45;7;;;;;;;;5;;7;;;;7;;;;;;;;;7;;;6;;;;;;;;6;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;19;4;;;;;;;;4;;;;;;4;;;;;;;4;;3;;;;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;21;4;;;;;;;;;4;;;;;;;;;;;4;6;;;;;3;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;1;20;4;;;;;;;;;6;;;4;;;;;;;;4;;;;;;2;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;1;28;5;;;;;;;;7;;;;7;;;;;;;6;;;;;;;;;;;;3;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;1;18;2;;;;;;;;4;;;3;3;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2024K;1604;Madetojan musiikkilukio;FI;;2;28;5;;;;;;;;6;;;;4;;;;;;6;;;;;;;;7;;;;;;;;;;;;;;;;;1
